principal,sem_winsorizacao,winsor_2_5,padronizacao_por_ano,max_samples_64,max_samples_n,arvores_200,COMPANHIA_ANO
0.3948663101604278,0.3906417112299466,0.3719251336898396,0.3799465240641711,0.38529411764705895,0.40802139037433155,0.3901069518716578,CENCOSUD BRASIL COMERCIAL S.A. (2023)
0.8654545454545454,0.8489304812834225,0.9058823529411765,0.7935828877005349,0.8828877005347595,0.8639037433155081,0.8606951871657753,LUPO S.A. (2021)
0.5890909090909089,0.5812834224598932,0.5970588235294116,0.5858288770053476,0.5975935828877006,0.5903743315508021,0.5887700534759358,LUPO S.A. (2022)
0.4291978609625669,0.42459893048128344,0.4382352941176471,0.3040106951871657,0.43422459893048126,0.4264705882352942,0.43368983957219254,LUPO S.A. (2023)
0.4034224598930482,0.4002673796791445,0.4074866310160428,0.41069518716577547,0.4147058823529412,0.40614973262032084,0.3954545454545454,LUPO S.A. (2024)
0.4506951871657753,0.4537433155080214,0.463903743315508,0.5759358288770053,0.45106951871657763,0.45721925133689834,0.4529411764705883,LUPO S.A. (2025)
0.0702673796791443,0.0606951871657754,0.06229946524064171,0.011497326203208555,0.07032085561497325,0.06898395721925134,0.07593582887700535,PROFARMA DISTRIB PROD FARMACEUTICOS S.A. (2021)
0.1726203208556149,0.18636363636363631,0.18556149732620317,0.14572192513368984,0.17032085561497326,0.1695187165775401,0.1786096256684492,PROFARMA DISTRIB PROD FARMACEUTICOS S.A. (2022)
0.2925133689839573,0.33181818181818173,0.317379679144385,0.32914438502673804,0.3237967914438503,0.28155080213903744,0.28770053475935836,PROFARMA DISTRIB PROD FARMACEUTICOS S.A. (2023)
0.0847058823529411,0.07860962566844919,0.08850267379679143,0.21363636363636362,0.09037433155080213,0.0732620320855615,0.06898395721925135,PROFARMA DISTRIB PROD FARMACEUTICOS S.A. (2024)
0.0342245989304812,0.03957219251336898,0.04598930481283422,0.08663101604278074,0.04679144385026738,0.032887700534759354,0.03636363636363636,PROFARMA DISTRIB PROD FARMACEUTICOS S.A. (2025)
0.2231016042780748,0.2072192513368984,0.24518716577540106,0.2804812834224599,0.22540106951871658,0.2179144385026738,0.23582887700534766,CIA BRASILEIRA DE DISTRIBUICAO (2021)
0.8242780748663101,0.8489304812834224,0.8197860962566846,0.8462566844919787,0.8144385026737968,0.825133689839572,0.8302139037433154,CIA BRASILEIRA DE DISTRIBUICAO (2022)
0.6450267379679145,0.65427807486631,0.6930481283422459,0.572192513368984,0.6540106951871658,0.6441176470588237,0.647860962566845,CIA BRASILEIRA DE DISTRIBUICAO (2023)
0.4173262032085562,0.4149732620320855,0.383957219251337,0.35614973262032085,0.40374331550802134,0.42967914438502686,0.40909090909090906,CIA BRASILEIRA DE DISTRIBUICAO (2024)
0.2283422459893048,0.2056149732620321,0.21711229946524066,0.29946524064171126,0.22967914438502673,0.2296791443850267,0.21497326203208553,CIA BRASILEIRA DE DISTRIBUICAO (2025)
0.615294117647059,0.6155080213903743,0.6320855614973262,0.5491978609625668,0.6109625668449198,0.6144385026737967,0.6064171122994653,MAGAZINE LUIZA S.A. (2021)
0.4919786096256684,0.48021390374331546,0.5411764705882353,0.4668449197860963,0.5053475935828878,0.4885026737967915,0.48395721925133683,MAGAZINE LUIZA S.A. (2022)
0.213475935828877,0.22326203208556145,0.20748663101604276,0.0679144385026738,0.2128342245989304,0.21577540106951867,0.21711229946524063,MAGAZINE LUIZA S.A. (2023)
0.664385026737968,0.6542780748663102,0.6168449197860963,0.6510695187165776,0.6435828877005347,0.66951871657754,0.6590909090909091,MAGAZINE LUIZA S.A. (2024)
0.6219251336898397,0.6149732620320856,0.5716577540106952,0.6518716577540106,0.6013368983957218,0.6307486631016042,0.6155080213903743,MAGAZINE LUIZA S.A. (2025)
0.3189304812834224,0.3229946524064171,0.3064171122994653,0.15508021390374332,0.3128342245989305,0.30775401069518715,0.32486631016042783,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A (2021)
0.0636363636363636,0.058288770053475936,0.06871657754010695,0.041443850267379685,0.05641711229946524,0.06631016042780748,0.07058823529411765,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A (2022)
0.5224598930481283,0.5147058823529411,0.5211229946524064,0.47754010695187166,0.5315508021390374,0.5336898395721925,0.5385026737967914,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A (2023)
0.4402139037433156,0.41149732620320856,0.41711229946524053,0.44652406417112295,0.4457219251336899,0.44010695187165777,0.42032085561497323,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A (2024)
0.5334759358288772,0.512566844919786,0.5647058823529413,0.5922459893048128,0.553475935828877,0.527005347593583,0.5259358288770054,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A (2025)
0.2790374331550802,0.2938502673796791,0.30695187165775406,0.3352941176470588,0.27834224598930485,0.27433155080213906,0.26844919786096255,UNIÃO PET PARTICIPAÇÕES S.A. (2024)
0.2365775401069518,0.239572192513369,0.24438502673796791,0.25508021390374325,0.23877005347593588,0.2403743315508021,0.22459893048128343,UNIÃO PET PARTICIPAÇÕES S.A. (2025)
